name,category,brand,description,price,images,S,M,L,XL,XXL
ODB,T-Shirts,Wu-Tang,Color: white\nManufacturer color: white\nMaterial composition: 100% Cotton\nArt.Nr: WU010-00220,26.99,"https://def-live.cdn.aboutyou.cloud/images/d30af238b559ff21eb931dd63eb2779a.jpg,https://def-live.cdn.aboutyou.cloud/images/a6810e7ae743fd91bb1c557ebb46c680.jpg",0,0,1,1,0
NoWay Oversize,T-Shirts,Thug Life,"Klassisches M?ner T-Shirt von Thug Life in Rosa\nGerippter Rundhalsausschnitt\nGro?er, gummierter Logo-Print auf der Vorderseite\nStitch am linken ?rmel\nLogo-Patch im Nacken\nBequeme Passform\nNeckline: Round neck ",20.99,"https://def-live.cdn.aboutyou.cloud/images/65e4836b9b20571985a63705f46d241a.jpg,https://def-live.cdn.aboutyou.cloud/images/c3be4da3d894515c6a1d807c5d38df5f.jpg",0,0,1,0,1
Urban Classics Puffer Jacket,Jackets,Urban Classics, Closure types: Zipper\nColor: black\nManufacturer color: black\nMaterial composition: 100% Polyester,84.99,"https://def-live.cdn.aboutyou.cloud/images/1fd27116713d9453b2b1bf6c79028fcc.jpg,https://def-live.cdn.aboutyou.cloud/images/38c2e616439fc03289ef645db1f43e7e.jpg",0,9,9,9,9
Fatih,Sweatpants,2Y,"Color: grey\nManufacturer color: khaki\nMaterial composition: 85% Cotton, 15% Polyester",65.99,"https://def-live.cdn.aboutyou.cloud/images/33318a9c8de92cd75a4c01d099995b9c.jpg,https://def-live.cdn.aboutyou.cloud/images/558b2abef45ee8db9e57a00ecc8a99a0.jpg",7,0,0,0,0
Core Cuffed ,Sweatpants,Sik Silk,"Color: black\nManufacturer color: black\nMaterial composition: 80% Cotton, 20% Polyester",45.99,"https://def-live.cdn.aboutyou.cloud/images/a0b45f716ac10e2782f88609878ec0c2.jpg,https://def-live.cdn.aboutyou.cloud/images/3c1cee85e108d138da64c8e8074f49d6.jpg",0,0,0,2,0
Rose,T-Shirts,Aarhon,Color: black\nManufacturer color: black\nMaterial composition: 100% Cotton,31.99,"https://def-live.cdn.aboutyou.cloud/images/78e4a5dfa8deec5036be6f371b448e00.jpg,https://def-live.cdn.aboutyou.cloud/images/6f9d5566d5b67e0edd4a01a31c125631.jpg",1,0,0,0,0
Classics Relaxed FL,Hoodies,Puma,Color: black\nManufacturer color: white\nMaterial composition: 100% Cotton,68.99,"https://def-live.cdn.aboutyou.cloud/images/4b684abc7ff6a8bbc437e720364f0be9.jpg, https://def-live.cdn.aboutyou.cloud/images/4b684abc7ff6a8bbc437e720364f0be9.jpg",9,0,9,0,0
Dri-Fit Swoosh,Hoodies,Nike,"Color: red\nManufacturer color: red\nMaterial composition: 61% Cotton, 39% Polyester",49.29,"https://def-live.cdn.aboutyou.cloud/images/cfe946559d7e215292b043c15e8d7896.jpg,https://def-live.cdn.aboutyou.cloud/images/61e07455ae9ea3e94157439662ecff7f.jpg",0,0,0,1,0
Levis 501 Hemmed Shorts,Shorts,Levi's,"Color: blue\nManufacturer color: bleu eyes little dx short\nMaterial composition: 99% Cotton, 1% Spandex",68.98,"https://def-live.cdn.aboutyou.cloud/images/7f543367531c544f8f47c5ec20c07d53.jpg,https://def-live.cdn.aboutyou.cloud/images/f9a0b81aea6ba3b17e0e09f35e5e9803.jpg,https://def-live.cdn.aboutyou.cloud/images/25b5505fcfc77655d390aa774b9dc8bf.jpg",2,0,0,0,0
Puma Classics Longline Shorts,Shorts,Puma,Color: grey\nManufacturer color: lightgrey heather\nMaterial composition: 100% Cotton,45.99,"https://def-live.cdn.aboutyou.cloud/images/3a2f1dd4307307059820d49878e81ee4.jpg,https://def-live.cdn.aboutyou.cloud/images/fcf3c8b70e9be82857557b58663e3278.jpg,https://def-live.cdn.aboutyou.cloud/images/b2097e96409644f00f9c50fe64716328.jpg",0,4,0,0,0
